2M15183049+0207005   1.346 M5
2M15183050+0209224   1.852 M5
2M15183086+0212167   1.609 M5
2M15183092+0205024   1.250 M5
2M15183134+0157118   2.402 M5
2M15183142+0207117   1.538 M5
2M15183182+0203277   1.839 M5
2M15183223+0201341   0.809 M5
2M15183263+0202199   1.198 M5
2M15183303+0202544   1.903 M5
2M15183401+0207158   1.609 M5
2M15183415+0159215   2.309 M5
2M15183442+0227451   1.576 M5
2M15183442+0227451   1.580 M5
2M15183463+0209313   1.380 M5
2M15183481+0202226   1.757 M5
2M15183484+0206165   1.453 M5
2M15183531+0207400   1.347 M5
2M15183589+0202423   1.943 M5
2M15183638+0208507   1.666 M5
2M15183678+0206370   2.127 M5
2M15183679+0206171   1.573 M5
2M15183720+0208197   2.256 M5
2M15183738+0206079   0.833 M5
2M15183781+0207024   1.650 M5
2M15183815+0203219   1.706 M5
2M15183873+0208200   2.090 M5
2M15183915+0205301   2.261 M5
2M15183938+0158516   2.265 M5
2M15183948+0210458   1.309 M5
2M15183954+0207237   1.305 M5
2M15183955+0202520   1.431 M5
2M15183957+0205018   1.992 M5
2M15183975+0212333   2.281 M5
2M15183994+0203156   2.421 M5
2M15184001+0211023   1.189 M5
2M15184015+0154369   1.664 M5
2M15184022+0213278   1.882 M5
2M15184022+0213278   1.908 M5
2M15184035+0158187   1.991 M5
2M15184061+0206241   1.118 M5
2M15184103+0202242   1.712 M5
2M15184132+0205014   1.507 M5
2M15184137+0209199   2.509 M5
2M15184139+0206004   0.805 M5
2M15184164+0203533   0.690 M5
2M15184187+0205537   1.716 M5
2M15184209+0204094   1.261 M5
2M15184330+0159322   2.275 M5
2M15184346+0156311   2.262 M5
2M15184346+0156311   2.252 M5
2M15184346+0203074   1.462 M5
2M15184374+0208171   2.343 M5
2M15184449+0202053   1.259 M5
2M15184495+0202034   0.500 M5
2M15184497+0202168   2.271 M5
2M15184518+0205132   2.191 M5
2M15184558+0205495   2.130 M5
2M15184579+0201169   2.183 M5
2M15184579+0201169   2.174 M5
2M15184670+0155152   2.304 M5
2M15184681+0209519   2.287 M5
2M15184730+0207253   1.792 M5
2M15184785+0206199   2.214 M5
2M15184836+0203156   2.459 M5
2M15184910+0207439   2.293 M5
2M15185239+0203551   1.954 M5
2M15185239+0203551   1.947 M5
2M15185321+0155473   2.218 M5
2M15185321+0155473   2.202 M5
2M15185420+0202375   2.252 M5
2M15185515+0214337   1.469 M5
2M15185515+0214337   1.476 M5
2M15185731+0203077   1.976 M5
2M15185731+0203077   1.954 M5
2M15185953+0202076   2.049 M5
2M15190176+0206351   2.063 M5
2M15190176+0206351   2.074 M5
2M15190237+0204586   1.974 M5
2M15190244+0213503   1.736 M5
2M15190244+0213503   1.737 M5
2M15190324+0208032   0.435 M5
2M15190324+0208032   0.433 M5
2M15190407+0205255   2.239 M5
2M15190597+0211317   2.289 M5
2M15190992+0208218   1.891 M5
2M15190992+0208218   1.900 M5
2M15191033+0207072   1.846 M5
2M15191033+0207072   1.841 M5
2M15191070+0211520   2.250 M5
2M15191070+0211520   2.230 M5
2M15191077+0159458   2.328 M5
2M15191396+0207141   2.275 M5
2M15191912+0202334   1.269 M5
2M15191912+0202334   1.268 M5
2M15192875+0206510   2.067 M5
2M15192875+0206510   2.072 M5
2M07380545+2136507   2.689 N2420
2M07380545+2136507   2.700 N2420
2M07380627+2136542   2.458 N2420
2M07381507+2134589   1.412 N2420
2M07381549+2138015   2.568 N2420
2M07381822+2132062   2.573 N2420
2M07382148+2135050   2.726 N2420
2M07382166+2133514   1.921 N2420
2M07382195+2135508   2.541 N2420
2M07382208+2136432   2.519 N2420
2M07382406+2132148   2.515 N2420
2M07382670+2128514   2.536 N2420
2M07382696+2138244   2.421 N2420
2M07382696+2138244   2.419 N2420
2M07382724+2133166   2.942 N2420
2M07382984+2134509   2.625 N2420
2M07383760+2134119   2.552 N2420
2M08492491+1144057   3.130 M67
2M08492491+1144057   3.123 M67
2M08492491+1144057   3.131 M67
2M08492491+1144057   3.130 M67
2M08493465+1151256   1.715 M67
2M08495682+1141329   1.868 M67
2M08495682+1141329   1.866 M67
2M08501230+1151246   1.127 M67
2M08503613+1143180   3.466 M67
