id            cl    vrad    teff    logg    feh    cfe    nfe    ofe    mgfe    alfe    sife    cafe    tife    pop limit    rah ram ras decd decm decs J    H    K
2M16414528+3631068    M13    -248.0    4612    1.51    -1.48    9999    9999    9999    -0.04    1.27    0.38    0.19    0.24    2   0       16 41 45.28 +36 31 06.8      11.610 11.028 10.920
2M16414558+3630328    M13    -246.0    4679    1.65    -1.51    9999    9999    9999    0.18    1.03    0.35    0.02    0.18    2   0       16 41 45.58 +36 30 32.8      12.085 11.516 11.417
2M16414814+3623362    M13    -247.9    5114    2.55    -1.54    9999    9999    9999    0.03    0.54    0.61    0.51    9999    1   0       16 41 48.14 +36 23 36.2     12.944 12.439 12.405 
2M16414879+3626505    M13    -249.4    4777    1.80    -1.50    9999    9999    9999    0.06    0.84    0.37    0.09    0.46    2   0       16 41 48.79 +36 26 50.5      11.773 11.221 11.136
2M16414932+3625264    M13    -249.8    4642    1.56    -1.35    9999    9999    9999    -0.06    1.06    0.36    0.24    0.13    2   0       16 41 49.32 +36 25 26.4      11.396 10.835 10.716
2M16415024+3629431    M13    -256.6    4909    2.08    -1.56    9999    9999    9999    0.23    0.59    0.40    0.28    9999    2   0       16 41 50.24 +36 29 43.1      11.570 11.032 10.973
2M16415190+3619350    M13    -251.9    4832    1.92    -1.55    9999    9999    9999    -0.17    0.75    0.44    0.30    9999    2   0       16 41 51.90 +36 19 35.0     13.092 12.537 12.472 
2M16415452+3626289    M13    -237.0    5376    3.23    -1.52    9999    9999    9999    -0.05    0.42    0.39    0.25    9999    1    0       16 41 54.52 +36 26 28.9      12.731 12.367 12.260
2M16415735+3625217    M13    -244.7    4809    1.90    -1.37    9999    9999    9999    -0.26    1.17    0.46    0.47    0.37    2   0       16 41 57.35 +36 25 21.7      12.280 11.734 11.653
2M16415742+3623154    M13    -247.9    4875    2.00    -1.48    9999    9999    9999    0.04    0.02    0.45    0.43    9999    1   0       16 41 57.42 +36 23 15.4     12.500 11.973 11.893 
2M16420038+3625250    M13    -246.5    4940    2.14    -1.54    9999    9999    9999    -0.09    1.40    0.54    0.49    0.28    2   0       16 42 00.38 +36 25 25.0     12.561 12.041 11.973 
2M16420255+3632326    M13    -249.4    4926    2.12    -1.57    9999    9999    9999    0.28    0.39    0.39    0.29    0.18    1   0       16 42 02.55 +36 32 32.6     13.150 12.633 12.558 
2M16421018+3637510    M13    -248.2    4971    2.22    -1.50    9999    9999    9999    -0.01    1.32    0.49    0.29    0.16    2   0       16 42 10.18 +36 37 51.0      13.094 12.638 12.515
2M16421116+3618225    M13    -245.7    5143    2.63    -1.54    9999    9999    9999    -0.18    1.41    0.59    0.45    9999    2   0       16 42 11.16 +36 18 22.5     13.019 12.540 12.488 
2M16421358+3628365    M13    -240.5    5085    2.50    -1.45    9999    9999    9999    0.12    1.06    0.40    0.22    9999    2   0       16 42 13.58 +36 28 36.5     13.471 12.969 12.924 
2M16421367+3633148    M13    -248.6    5009    2.30    -1.43    9999    9999    9999    0.06    0.91    0.36    0.37    0.29    2   0       16 42 13.67 +36 33 14.8     13.690 13.244 13.122 
2M16421652+3624587    M13    -241.6    4816    1.90    -1.63    9999    9999    9999    0.06    0.99    0.57    0.51    0.49    2   0       16 42 16.52 +36 24 58.7      12.426 11.907 11.801
2M16421910+3637033    M13    -243.3    5185    2.71    -1.43    9999    9999    9999    0.18    0.98    0.45    0.29    9999    2   0       16 42 19.10 +36 37 03.3     13.326 12.851 12.806 
2M16421985+3629461    M13    -246.9    4964    2.21    -1.50    9999    9999    9999    0.12    1.23    0.43    0.42    0.37    2   0       16 42 19.85 +36 29 46.1      13.066 12.562 12.485
2M16422126+3633533    M13    -250.6    5136    2.59    -1.56    9999    9999    9999    0.24    -0.39    0.45    0.20    9999    1   0       16 42 21.26 +36 33 53.3     12.680 12.230 12.147 
2M16422603+3627048    M13    -243.3    5096    2.50    -1.44    9999    9999    9999    0.26    -0.14    0.36    0.26    -0.05   1   0       16 42 26.03 +36 27 04.8     13.288 12.751 12.744 
2M16423238+3629577    M13    -243.2    5285    2.97    -1.36    9999    9999    9999    -0.05    1.12    0.47    0.34    9999    2   0       16 42 32.38 +36 29 57.7     13.559 13.084 13.065 
2M16423787+3624127    M13    -250.5    4748    1.77    -1.45    9999    9999    9999    0.07    0.97    0.42    0.22    0.10    2   0       16 42 37.87 +36 24 12.7     11.895 11.356 11.249 
2M16404298+3627418    M13    -244.4    4564    1.39    -1.52    9999    9999    9999    0.32    0.05    0.30    0.17    0.16    1   0       16 40 42.98 +36 27 41.8      11.410 10.784 10.704
2M16411983+3624381    M13    -255.9    4723    1.73    -1.56    9999    9999    9999    0.21    0.12    0.41    0.11    9999    1   0       16 41 19.83 +36 24 38.1      11.845 11.281 11.191
2M16412408+3625306    M13    -242.5    4366    1.08    -1.58    -0.48    1.03    0.60    0.38    0.20    0.44    0.09    0.21    1   1       16 41 24.08 +36 25 30.6      10.018 9.353 9.242     
2M16412464+3625449    M13    -232.9    4380    1.08    -1.39    -0.56    0.84    -0.02    0.04    1.12    0.33    0.17    0.21    2   1       16 41 24.64 +36 25 44.9      10.601 9.928 9.830 
2M16412709+3628002    M13    -239.3    4366    1.08    -1.60    -0.56    0.71    0.59    0.34    -0.25    0.37    0.13    0.13    1   1       16 41 27.09 +36 28 00.2      10.236 9.575 9.460 
2M16412837+3627038    M13    -252.5    4657    1.60    -1.43    9999    9999    9999    0.25    0.66    0.30    0.17    0.27    2   0       16 41 28.37 +36 27 03.8      11.510 10.922 10.835
2M16413053+3629434    M13    -246.8    4361    1.03    -1.50    -0.55    0.90    0.23    0.23    0.71    0.26    0.19    0.18    2   1       16 41 30.53 +36 29 43.4      10.505 9.827 9.727 
2M16413107+3625587    M13    -247.1    4413    1.13    -1.38    -0.50    0.68    -0.07    0.12    1.15    0.31    0.24    0.17    2   1       16 41 31.07 +36 25 58.7      10.650 9.988 9.891 
2M16413127+3625182    M13    -235.6    4691    1.65    -1.47    9999    9999    9999    0.15    0.79    0.41    0.51    0.26    2   0       16 41 31.27 +36 25 18.2      11.672 11.077 11.008
2M16413200+3628299    M13    -239.6    4054    0.50    -1.47    -0.66    0.87    0.00    0.05    1.16    0.27    0.15    0.18    2    1       16 41 32.00 +36 28 29.9      9.516 8.768 8.616 
2M16413253+3624424    M13    -247.8    4212    0.79    -1.48    -0.62    1.08    0.37    0.28    0.60    0.32    0.23    0.18    2   1       16 41 32.53 +36 24 42.4      9.779 9.057 8.944 
