;
; APOGEE Detector Map
; -------------------
;
; Derived from File: 400mm FINAL 12-9-08 tol with JCW tol rectangular footprint - optimized at 110K - tol TI3 GJF - john addns.ZMX
; Calculated FRI MAY 29 2009
;
; x (spatial), y (spectral) are spot centroid positions in the focal plane
; positions are relative to the zemax origin at the focal plane
; rms is rms spot radius relative to centroid
;
; Field 1: Top Fiber
; Field 2:
; Field 3: Middle Fiber
; Field 4:
; Field 5: Bottom Fiber
;
; Number of Detectors = 3
; Detector Active Area = 2040 pix
; Detector Pixel Size = 18 micron
; Min Gap between adjacent detector active areas = 2.788 mm
; (May be slightly different for UA mount, but this number is close)
; We desire 10 pix (0.18 micron) engineering slop between edge of detector
; and start of coverage on extreme blue and extreme red edges of wavelength coverage
;
; Blue Wavelengths
; Wavelength (um), Field, x (mm), y (mm), rms (mm)
1.5680, 3.0000, -0.0000, 2.8917, 0.0051
1.5680, 4.0000, 8.9908, 2.8959, 0.0052
1.5680, 5.0000, 17.9875, 2.9082, 0.0062
1.5690, 1.0000, -17.9876, 2.3368, 0.0064
1.5690, 2.0000, -8.9909, 2.3247, 0.0053
1.5690, 3.0000, -0.0000, 2.3206, 0.0051
1.5690, 4.0000, 8.9909, 2.3247, 0.0053
1.5690, 5.0000, 17.9876, 2.3368, 0.0064
1.5700, 1.0000, -17.9879, 1.7644, 0.0065
1.5700, 2.0000, -8.9910, 1.7524, 0.0053
1.5700, 3.0000, -0.0000, 1.7483, 0.0052
1.5700, 4.0000, 8.9910, 1.7524, 0.0053
1.5700, 5.0000, 17.9879, 1.7644, 0.0065
1.5710, 1.0000, -17.9881, 1.1908, 0.0066
1.5710, 2.0000, -8.9911, 1.1790, 0.0054
1.5710, 3.0000, -0.0000, 1.1749, 0.0052
1.5710, 4.0000, 8.9911, 1.1790, 0.0054
1.5710, 5.0000, 17.9881, 1.1908, 0.0066
1.5720, 1.0000, -17.9883, 0.6161, 0.0068
1.5720, 2.0000, -8.9912, 0.6044, 0.0055
1.5720, 3.0000, -0.0000, 0.6004, 0.0053
1.5720, 4.0000, 8.9912, 0.6044, 0.0055
1.5720, 5.0000, 17.9883, 0.6161, 0.0068
1.5730, 1.0000, -17.9886, 0.0402, 0.0069
1.5730, 2.0000, -8.9913, 0.0287, 0.0056
1.5730, 3.0000, -0.0000, 0.0247, 0.0053
1.5730, 4.0000, 8.9913, 0.0287, 0.0056
1.5730, 5.0000, 17.9886, 0.0402, 0.0069
1.5740, 1.0000, -17.9888, -0.5369, 0.0071
1.5740, 2.0000, -8.9914, -0.5482, 0.0057
1.5740, 3.0000, -0.0000, -0.5521, 0.0054
1.5740, 4.0000, 8.9914, -0.5482, 0.0057
1.5740, 5.0000, 17.9888, -0.5369, 0.0071
1.5750, 1.0000, -17.9891, -1.1151, 0.0073
1.5750, 2.0000, -8.9916, -1.1263, 0.0058
1.5750, 3.0000, -0.0000, -1.1301, 0.0055
1.5750, 4.0000, 8.9916, -1.1263, 0.0058
1.5750, 5.0000, 17.9891, -1.1151, 0.0073
1.5760, 1.0000, -17.9894, -1.6945, 0.0075
1.5760, 2.0000, -8.9917, -1.7055, 0.0059
1.5760, 3.0000, -0.0000, -1.7093, 0.0056
1.5760, 4.0000, 8.9917, -1.7055, 0.0059
1.5760, 5.0000, 17.9894, -1.6945, 0.0075
1.5770, 1.0000, -17.9897, -2.2751, 0.0077
