# Wavelength Field x y rms
1.6990 1.0000 -18.2232 -86.4273 0.0212
1.6990 2.0000 -9.1079 -86.3903 0.0189
1.6990 3.0000 -0.0000 -86.3780 0.0179
1.6990 4.0000 9.1079 -86.3903 0.0189
1.6990 5.0000 18.2232 -86.4273 0.0212
1.7000 1.0000 -18.2280 -87.2886 0.0211
1.7000 2.0000 -9.1099 -87.2505 0.0193
1.7000 3.0000 -0.0000 -87.2381 0.0182
1.7000 4.0000 9.1099 -87.2505 0.0193
1.7000 5.0000 18.2280 -87.2886 0.0211
1.7010 1.0000 -18.2328 -88.1545 0.0219
1.7010 2.0000 -9.1129 -88.1156 0.0195
1.7010 3.0000 -0.0000 -88.1029 0.0188
1.7010 4.0000 9.1129 -88.1156 0.0195
1.7010 5.0000 18.2328 -88.1545 0.0219
1.7020 1.0000 -18.2372 -89.0253 0.0217
1.7020 2.0000 -9.1154 -88.9851 0.0200
1.7020 3.0000 -0.0000 -88.9721 0.0190
1.7020 4.0000 9.1154 -88.9851 0.0200
1.7020 5.0000 18.2372 -89.0253 0.0217
1.7030 1.0000 -18.2422 -89.9009 0.0210
1.7030 2.0000 -9.1178 -89.8595 0.0199
1.7030 3.0000 -0.0000 -89.8463 0.0192
1.7030 4.0000 9.1178 -89.8595 0.0199
1.7030 5.0000 18.2422 -89.9009 0.0210
1.7040 1.0000 -18.2471 -90.7816 0.0217
1.7040 2.0000 -9.1207 -90.7389 0.0201
1.7040 3.0000 -0.0000 -90.7252 0.0198
1.7040 4.0000 9.1207 -90.7389 0.0201
1.7040 5.0000 18.2471 -90.7816 0.0217
1.7050 1.0000 -18.2516 -91.6672 0.0211
1.7050 2.0000 -9.1223 -91.6234 0.0199
1.7050 3.0000 -0.0000 -91.6086 0.0196
1.7050 4.0000 9.1223 -91.6234 0.0199
1.7050 5.0000 18.2516 -91.6672 0.0211
1.7060 1.0000 -18.2577 -92.5582 0.0194
1.7060 2.0000 -9.1247 -92.5132 0.0200
1.7060 3.0000 -0.0000 -92.4983 0.0194
1.7060 4.0000 9.1247 -92.5132 0.0200
1.7060 5.0000 18.2577 -92.5582 0.0194
1.7070 1.0000 -18.2628 -93.4551 0.0179
1.7070 2.0000 -9.1273 -93.4084 0.0193
1.7070 3.0000 -0.0000 -93.3932 0.0198
1.7070 4.0000 9.1273 -93.4084 0.0193
1.7070 5.0000 18.2628 -93.4551 0.0179
1.7080 1.0000 -18.2676 -94.3567 0.0171
1.7080 2.0000 -9.1301 -94.3086 0.0196
1.7080 3.0000 -0.0000 -94.2928 0.0183
1.7080 4.0000 9.1301 -94.3086 0.0196
1.7080 5.0000 18.2676 -94.3567 0.0171
1.7090 1.0000 -18.2730 -95.2648 0.0155
1.7090 2.0000 -9.1324 -95.2146 0.0188
1.7090 3.0000 -0.0000 -95.1984 0.0180
1.7090 4.0000 9.1324 -95.2146 0.0188
1.7090 5.0000 18.2730 -95.2648 0.0155
1.7100 1.0000 -18.2791 -96.1791 0.0133
1.7100 2.0000 -9.1357 -96.1267 0.0184
1.7100 3.0000 -0.0000 -96.1099 0.0188
1.7100 4.0000 9.1357 -96.1267 0.0184
1.7100 5.0000 18.2791 -96.1791 0.0133
1.7110 1.0000 -18.2851 -97.1002 0.0117
1.7110 2.0000 -9.1389 -97.0451 0.0159
1.7110 3.0000 -0.0000 -97.0270 0.0171
1.7110 4.0000 9.1389 -97.0451 0.0159
1.7110 5.0000 18.2851 -97.1002 0.0117
1.7120 1.0000 -18.2919 -98.0272 0.0089
1.7120 2.0000 -9.1413 -97.9694 0.0167
1.7120 3.0000 -0.0000 -97.9508 0.0174
1.7120 4.0000 9.1413 -97.9694 0.0167
1.7120 5.0000 18.2919 -98.0272 0.0089
1.7130 1.0000 -18.2988 -98.9621 0.0049
1.7130 2.0000 -9.1439 -98.8999 0.0139
1.7130 3.0000 -0.0000 -98.8814 0.0159
1.7130 4.0000 9.1439 -98.8999 0.0139
1.7130 5.0000 18.2988 -98.9621 0.0049
1.7140 1.0000 -18.3053 -99.9052 0.0000
1.7140 2.0000 -9.1471 -99.8390 0.0113
1.7140 3.0000 -0.0000 -99.8191 0.0146
1.7140 4.0000 9.1471 -99.8390 0.0113
1.7140 5.0000 18.3053 -99.9052 0.0000
1.7150 1.0000 -18.3147 -100.8536 0.0000
1.7150 2.0000 -9.1516 -100.7846 0.0075
1.7150 3.0000 -0.0000 -100.7639 0.0100
1.7150 4.0000 9.1516 -100.7846 0.0075
1.7150 5.0000 18.3147 -100.8536 0.0000
1.7160 1.0000 0.0000 0.0000 0.0000
1.7160 2.0000 -9.1544 -101.7400 0.0033
1.7160 3.0000 -0.0000 -101.7170 0.0075
1.7160 4.0000 9.1544 -101.7400 0.0033
1.7160 5.0000 0.0000 0.0000 0.0000
1.7170 1.0000 0.0000 0.0000 0.0000
1.7170 2.0000 -9.1621 -102.7023 0.0000
1.7170 3.0000 0.0000 -102.6858 0.0035
1.7170 4.0000 9.1621 -102.7023 0.0000
1.7170 5.0000 0.0000 0.0000 0.0000
1.7180 1.0000 0.0000 0.0000 0.0000
1.7180 2.0000 0.0000 0.0000 0.0000
1.7180 3.0000 0.0000 0.0000 0.0000
1.7180 4.0000 0.0000 0.0000 0.0000
1.7180 5.0000 0.0000 0.0000 0.0000
1.7190 1.0000 0.0000 0.0000 0.0000
1.7190 2.0000 0.0000 0.0000 0.0000
1.7190 3.0000 0.0000 0.0000 0.0000
1.7190 4.0000 0.0000 0.0000 0.0000
1.7190 5.0000 0.0000 0.0000 0.0000
1.7200 1.0000 0.0000 0.0000 0.0000
1.7200 2.0000 0.0000 0.0000 0.0000
1.7200 3.0000 0.0000 0.0000 0.0000
1.7200 4.0000 0.0000 0.0000 0.0000
1.7200 5.0000 0.0000 0.0000 0.0000
1.7210 1.0000 0.0000 0.0000 0.0000
1.7210 2.0000 0.0000 0.0000 0.0000
1.7210 3.0000 0.0000 0.0000 0.0000
1.7210 4.0000 0.0000 0.0000 0.0000
1.7210 5.0000 0.0000 0.0000 0.0000
1.7220 1.0000 0.0000 0.0000 0.0000
1.7220 2.0000 0.0000 0.0000 0.0000
1.7220 3.0000 0.0000 0.0000 0.0000
1.7220 4.0000 0.0000 0.0000 0.0000
1.7220 5.0000 0.0000 0.0000 0.0000
1.7230 1.0000 0.0000 0.0000 0.0000
1.7230 2.0000 0.0000 0.0000 0.0000
1.7230 3.0000 0.0000 0.0000 0.0000
1.7230 4.0000 0.0000 0.0000 0.0000
1.7230 5.0000 0.0000 0.0000 0.0000
1.7240 1.0000 0.0000 0.0000 0.0000
1.7240 2.0000 0.0000 0.0000 0.0000
1.7240 3.0000 0.0000 0.0000 0.0000
1.7240 4.0000 0.0000 0.0000 0.0000
1.7240 5.0000 0.0000 0.0000 0.0000
1.7250 1.0000 0.0000 0.0000 0.0000
1.7250 2.0000 0.0000 0.0000 0.0000
1.7250 3.0000 0.0000 0.0000 0.0000
1.7250 4.0000 0.0000 0.0000 0.0000
1.7250 5.0000 0.0000 0.0000 0.0000
1.7260 1.0000 0.0000 0.0000 0.0000
1.7260 2.0000 0.0000 0.0000 0.0000
1.7260 3.0000 0.0000 0.0000 0.0000
1.7260 4.0000 0.0000 0.0000 0.0000
1.7260 5.0000 0.0000 0.0000 0.0000
1.7270 1.0000 0.0000 0.0000 0.0000
1.7270 2.0000 0.0000 0.0000 0.0000
1.7270 3.0000 0.0000 0.0000 0.0000
1.7270 4.0000 0.0000 0.0000 0.0000
1.7270 5.0000 0.0000 0.0000 0.0000
1.7280 1.0000 0.0000 0.0000 0.0000
1.7280 2.0000 0.0000 0.0000 0.0000
1.7280 3.0000 0.0000 0.0000 0.0000
1.7280 4.0000 0.0000 0.0000 0.0000
1.7280 5.0000 0.0000 0.0000 0.0000
1.7290 1.0000 0.0000 0.0000 0.0000
1.7290 2.0000 0.0000 0.0000 0.0000
1.7290 3.0000 0.0000 0.0000 0.0000
1.7290 4.0000 0.0000 0.0000 0.0000
1.7290 5.0000 0.0000 0.0000 0.0000
