# ID  CHIPNUM  XPIX  WAVE   WAVE_ERR   FLUX  NAME USEWAVE
  403   3  910.10  15523.4827  2.0      4.00   UI    1
  404   3  908.82  15523.8965  1.0     10.19   UI    1
  405   3  901.21  15526.3611  4.0      1.86   UI    1
  406   3  900.11  15526.7175  1.0      8.42   UI    1
  407   3  898.33  15527.2949  1.0     27.33   UI    1
  408   3  895.44  15528.2300  4.0      2.00   UI    1
  409   3  894.11  15528.6597  2.0      5.19  UII    1
  410   3  890.82  15529.7253  3.0      5.44   UI    1
  411   3  887.78  15530.7068  3.0      3.71  UII    1
  412   3  886.14  15531.2378  6.0      2.31   UI    1
  413   3  882.06  15532.5574  2.0     18.30   UI    1
  414   3  880.15  15533.1763  1.0     12.32   UI    1
  415   3  876.59  15534.3262  2.0      2.92   UI    1
  416   3  874.62  15534.9658  1.0    152.62   UI    1
  417   3  870.90  15536.1682  2.0    108.09   UI    1
  418   3  860.09  15539.6594  2.0      9.11   UI    1
  419   3  857.34  15540.5493  1.0     21.19   UI    1
  420   3  847.32  15543.7842  2.0      5.12   UI    1
  421   3  844.07  15544.8328  2.0      6.93    ?    1
  422   3  842.57  15545.3162  2.0      5.00   UI    1
  423   3  836.89  15547.1484  3.0      2.01   UI    1
  424   3  834.40  15547.9517  3.0      2.53   UI    1
  425   3  833.89  15548.1152  3.0      1.84   UI    1
  426   3  824.95  15550.9985  2.0      8.98   UI    1
  427   3  822.04  15551.9385  3.0      3.09   UI    1
  428   3  812.69  15554.9512  4.0      2.15   UI    1
  429   3  812.05  15555.1575  2.0     21.99   UI    1
  430   3  810.38  15555.6934  2.0      2.71   UI    1
  431   3  807.48  15556.6284  2.0     13.90   UI    1
  432   3  805.40  15557.2986  2.0      3.40   UI    1
  433   3  804.78  15557.4988  4.0      3.35    ?    1
  434   3  801.34  15558.6047  1.0     69.86   UI    1
  435   3  799.31  15559.2578  3.0      3.42    ?    1
  436   3  797.90  15559.7119  1.0     60.98   Ar    1
  437   3  794.04  15560.9534  2.0      6.02   UI    1
  438   3  792.86  15561.3354  3.0      2.46    ?    1
  439   3  779.01  15565.7898  2.0      3.29   UI    1
  440   3  775.55  15566.8994  2.0      2.42   UI    1
  441   3  772.83  15567.7747  2.0      5.56   UI    1
  442   3  771.48  15568.2080  2.0      6.29   UI    1
  443   3  768.83  15569.0613  2.0      3.57   UI    1
  444   3  765.99  15569.9719  2.0      6.02   UI    1
  445   3  761.90  15571.2854  2.0      2.71   UI    1
  446   3  759.59  15572.0264  1.0     11.79   UI    1
  447   3  757.15  15572.8113  2.0      8.00   UI    1
  448   3  756.28  15573.0920  3.0      3.21   UI    1
  449   3  746.72  15576.1572  1.0     12.68  UII    1
  450   3  741.59  15577.8052  3.0      1.96   UI    1
  451   3  739.13  15578.5938  2.0      8.82   UI    1
  452   3  726.20  15582.7380  2.0      4.48  UII    1
  453   3  722.86  15583.8098  2.0      2.88   UI    1
  454   3  717.19  15585.6262  1.0     41.76   UI    1
  455   3  711.63  15587.4072  1.0    116.40   UI    1
  456   3  710.38  15587.8064  2.0      6.72   UI    1
  457   3  707.06  15588.8684  2.0     24.80  UII    1
  458   3  705.21  15589.4617  4.0      2.77   UI    1
  459   3  702.02  15590.4834  2.0     17.28   UI    1
  460   3  697.83  15591.8213  6.0      2.87   UI    1
  461   3  695.50  15592.5671  2.0     15.88   UI    1
  462   3  691.07  15593.9844  1.0     80.06   UI    1
  463   3  689.04  15594.6350  1.0    125.66   UI    1
  464   3  687.79  15595.0354  2.0     10.57   UI    1
  465   3  685.66  15595.7153  2.0      2.85   UI    1
  466   3  682.22  15596.8152  2.0     17.57   UI    1
  467   3  680.66  15597.3132  2.0      4.75   UI    1
  468   3  679.42  15597.7087  2.0      4.16   UI    1
  469   3  677.18  15598.4265  2.0     11.70    ?    1
  470   3  675.12  15599.0820  2.0      1.93   UI    1
  471   3  672.13  15600.0378  1.0    759.39   UI    1
  472   3  663.69  15602.7344  3.0      2.17  UII    1
  473   3  659.73  15603.9966  1.0     85.21   UI    1
  474   3  655.35  15605.3967  2.0     11.44   UI    1
  475   3  649.08  15607.3962  3.0      2.51    ?    1
  476   3  648.23  15607.6685  2.0      2.75   UI    1
  477   3  646.88  15608.0981  3.0      4.88   UI    1
