# Wavelength Field  x y rms
1.6430 4.0000 9.0245 -43.7603 0.0063
1.6430 5.0000 18.0555 -43.7657 0.0078
1.6440 1.0000 -18.0572 -44.4528 0.0080
1.6440 2.0000 -9.0254 -44.4471 0.0064
1.6440 3.0000 -0.0000 -44.4453 0.0060
1.6440 4.0000 9.0254 -44.4471 0.0064
1.6440 5.0000 18.0572 -44.4528 0.0080
1.6450 1.0000 -18.0590 -45.1421 0.0082
1.6450 2.0000 -9.0263 -45.1360 0.0066
1.6450 3.0000 -0.0000 -45.1340 0.0061
1.6450 4.0000 9.0263 -45.1360 0.0066
1.6450 5.0000 18.0590 -45.1421 0.0082
1.6460 1.0000 -18.0609 -45.8335 0.0084
1.6460 2.0000 -9.0272 -45.8270 0.0068
1.6460 3.0000 -0.0000 -45.8250 0.0063
1.6460 4.0000 9.0272 -45.8270 0.0068
1.6460 5.0000 18.0609 -45.8335 0.0084
1.6470 1.0000 -18.0627 -46.5272 0.0085
1.6470 2.0000 -9.0281 -46.5203 0.0069
1.6470 3.0000 -0.0000 -46.5181 0.0064
1.6470 4.0000 9.0281 -46.5203 0.0069
1.6470 5.0000 18.0627 -46.5272 0.0085
1.6480 1.0000 -18.0646 -47.2230 0.0087
1.6480 2.0000 -9.0290 -47.2157 0.0071
1.6480 3.0000 -0.0000 -47.2134 0.0066
1.6480 4.0000 9.0290 -47.2157 0.0071
1.6480 5.0000 18.0646 -47.2230 0.0087
1.6490 1.0000 -18.0665 -47.9211 0.0089
1.6490 2.0000 -9.0300 -47.9134 0.0073
1.6490 3.0000 -0.0000 -47.9110 0.0068
1.6490 4.0000 9.0300 -47.9134 0.0073
1.6490 5.0000 18.0665 -47.9211 0.0089
1.6500 1.0000 -18.0685 -48.6215 0.0092
1.6500 2.0000 -9.0309 -48.6134 0.0075
1.6500 3.0000 -0.0000 -48.6109 0.0069
1.6500 4.0000 9.0309 -48.6134 0.0075
1.6500 5.0000 18.0685 -48.6215 0.0092
1.6510 1.0000 -18.0705 -49.3242 0.0094
1.6510 2.0000 -9.0319 -49.3157 0.0077
1.6510 3.0000 -0.0000 -49.3130 0.0071
1.6510 4.0000 9.0319 -49.3157 0.0077
1.6510 5.0000 18.0705 -49.3242 0.0094
1.6520 1.0000 -18.0725 -50.0291 0.0096
1.6520 2.0000 -9.0329 -50.0202 0.0079
1.6520 3.0000 -0.0000 -50.0174 0.0073
1.6520 4.0000 9.0329 -50.0202 0.0079
1.6520 5.0000 18.0725 -50.0292 0.0096
1.6530 1.0000 -18.0745 -50.7365 0.0098
1.6530 2.0000 -9.0339 -50.7272 0.0081
1.6530 3.0000 -0.0000 -50.7242 0.0076
1.6530 4.0000 9.0339 -50.7272 0.0081
1.6530 5.0000 18.0745 -50.7365 0.0098
1.6540 1.0000 -18.0766 -51.4462 0.0101
1.6540 2.0000 -9.0350 -51.4364 0.0083
1.6540 3.0000 -0.0000 -51.4333 0.0078
1.6540 4.0000 9.0350 -51.4364 0.0083
1.6540 5.0000 18.0766 -51.4462 0.0101
1.6550 1.0000 -18.0787 -52.1583 0.0103
1.6550 2.0000 -9.0360 -52.1481 0.0086
1.6550 3.0000 -0.0000 -52.1449 0.0080
1.6550 4.0000 9.0360 -52.1481 0.0086
1.6550 5.0000 18.0787 -52.1583 0.0103
1.6560 1.0000 -18.0809 -52.8728 0.0105
1.6560 2.0000 -9.0371 -52.8622 0.0088
1.6560 3.0000 -0.0000 -52.8588 0.0083
1.6560 4.0000 9.0371 -52.8622 0.0088
1.6560 5.0000 18.0809 -52.8728 0.0105
1.6570 1.0000 -18.0831 -53.5898 0.0108
1.6570 2.0000 -9.0382 -53.5788 0.0091
1.6570 3.0000 -0.0000 -53.5752 0.0085
1.6570 4.0000 9.0382 -53.5788 0.0091
1.6570 5.0000 18.0831 -53.5898 0.0108
1.6580 1.0000 -18.0853 -54.3093 0.0111
1.6580 2.0000 -9.0393 -54.2978 0.0093
