APOGEE_ID,DDO51,DDO51ERR,M,MERR,T2,T2ERR
2M10133243-0234198,12.665,0.014,12.513,0.019,11.166,0.018
2M10133291-0155330,18.449,0.023,18.223,0.024,16.664,0.019
AP10133305-0159528,18.703,0.023,18.724,0.026,17.476,0.029
AP10133305-0159528,0.0,0.0,0.0,0.0,0.0,0.0
AP10133471-0207580,17.986,0.018,18.055,0.018,16.472,0.021
2M10133529-0117548,17.934,0.018,17.975,0.021,16.326,0.021
2M10133559-0123390,17.698,0.017,17.73,0.02,16.535,0.022
2M10133600-0120427,18.65,0.02,18.704,0.022,17.258,0.03
2M10133632-0104357,18.1535,0.014159801,18.02,0.0145,16.514,0.017029386
2M10133675-0108018,17.395,0.017,17.455,0.02,15.705,0.02
2M10133717-0144071,11.525,0.043,11.682,0.038,10.916,0.036
2M10134025-0133399,18.156,0.02,18.232,0.023,16.673,0.022
2M10134122-0206086,18.576,0.015206906,18.589,0.01570032,17.0905,0.017356556
2M10134175-0211244,17.444,0.017,17.479,0.016,15.723,0.019
2M10134263-0213116,13.542,0.015,13.538,0.015,12.579,0.018
2M10134404-0229344,17.454,0.016,17.478,0.02,16.082,0.019
2M10134548-0156167,18.246,0.022,18.297,0.024,16.785,0.021
2M10134627-0109406,13.643,0.017,13.632,0.019,12.669,0.019
2M10134639-0105145,17.543999,0.013086252,17.589,0.013793114,15.7965,0.015945219
2M10135081-0145124,17.852,0.019,17.897,0.022,16.147,0.021
2M10135296-0047576,13.966,0.018,13.966,0.017,12.921,0.023
2M10135296-0047576,0.0,0.0,0.0,0.0,0.0,0.0
